id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
1,16.91672780575653,18.458243667187247,0.42590782469450433,-0.4088865414974029,0.054839949839108997,25,63929.0,733198.0,-14.663053179084189,-3.562491590139264
2,876.7370251237497,20.60149917232181,0.3451965299089263,-0.3563354432359373,0.1169614673055716,25,32047.0,342698.0,-13.837278924690818,-3.0541796946499793
3,431.9137843301801,32.0228611029755,0.4746978171329541,-0.34368353176942534,0.11806871117936805,25,18641.0,154347.0,-12.971245481595698,-2.4320516960079144
4,1.5202855919049778,38.795562957376625,0.43619951487031594,-0.6433251796427976,0.13468289965480543,25,22715.0,201835.0,-13.26249119747839,-2.6710297682029864
5,77.64283336747775,51.29442744816655,0.33399082689912546,-0.21238291890244143,-0.0020135773342602136,25,5092.0,57701.0,-11.902958349644898,-1.092574257068646
6,75.7577943577692,54.60400069152424,0.37281423027478683,0.47633554014902024,0.5879591615611395,25,1937.0,19944.0,-10.749530663739293,-0.1142297297622271
7,86.99381853867429,67.44118500541967,0.4401420023197222,-0.3766005875052094,0.09275718226294653,25,63929.0,730183.0,-14.65857929389754,-3.574214222195278
8,377.6007084834838,77.4557894969418,0.39305030327069207,0.061358276801916085,0.09640158675877127,25,16656.0,175994.0,-13.113744655170192,-2.2743347068590785
9,960.8567178043565,145.17466180063516,0.424200601223985,-0.41790552437328876,0.13843379935823702,25,17798.0,160420.0,-13.013146280010147,-2.4245191815877574
10,919.844888921526,159.4454902522472,0.21538352992772422,-0.2460203730426633,0.3389995010488338,25,63929.0,966925.0,-14.963481972825537,-3.7953730455643715
11,53.41956846423702,190.56518831229965,0.6677990783530867,-0.6703609512837084,0.1083032188901458,25,4493.0,31659.0,-11.251242982148062,-0.7235764252975667
12,439.68158496361644,189.91970432959462,0.5726724751734069,-0.23820784952530843,0.06504955011037211,25,5100.0,35261.0,-11.368236561763304,-0.9822130138060734
13,761.4501381079856,198.0949332717176,0.3393019031277054,-0.4053484493245865,0.055990138311918555,25,4956.0,46681.0,-11.672850377314552,-1.2351802350111734
14,180.79665280754304,221.67588313227824,0.24605185746620453,-0.47297142020855937,0.08188419375029247,25,4974.0,61530.0,-11.972717287720071,-1.1746206148105722
15,171.8273981611977,228.2723256312222,0.43535396177168767,-0.4147641742768698,0.13831103733312555,25,1967.0,13585.0,-10.332649106884775,-0.19259834115769886
16,542.4264211848998,258.9700496721807,0.25391236597195715,-0.5779477988726757,-0.060389889190755545,25,4127.0,56523.0,-11.880563010722147,-0.8264155249581407
17,248.25284620628014,294.5978318924929,0.25405161515872454,-0.22025308804156013,-0.0755305979371318,25,12436.0,158073.0,-12.99714423915069,-2.0544345476672046
18,655.4195211569328,295.2605824673077,0.5063809473719049,-0.14234139321959274,0.1046275099357162,25,55517.0,505979.0,-14.260331230966209,-3.504182638639274
19,227.26278186667875,305.73427765357127,0.2739889616612748,-0.10805805933562918,0.25096207567472273,25,7895.0,93702.0,-12.429372151704346,-1.6051581115795766
20,461.0278945618321,319.80399180975627,0.3293629114533092,-0.14462886001987285,0.05764567526314165,25,56290.0,655421.0,-14.54130088067666,-3.6601354352055355
21,459.9103537947689,333.52350901347353,0.46326005395579223,-0.19012673205124267,0.27793512259692016,25,8178.0,78994.0,-12.243985264116938,-1.449879228999912
22,242.1683822358299,342.2506525127349,0.536379136642786,-0.33086278386742946,0.045854733699516564,25,4763.0,39403.0,-11.488823221686149,-0.8634455961310503
23,378.4245210779207,345.03697266665307,0.2577370150265548,-0.5827470278894175,-0.08140310144342067,25,1796.0,22059.0,-10.858964551728507,-0.08168997061271899
24,511.3240899512497,350.59913403934826,0.2636307208542584,-0.738340405403816,0.13769007639153968,25,10148.0,122875.0,-12.72365882710048,-1.8629795692309252
