id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,peak,flux,mag,daofind_mag
363,3352.1983322494884,833.2102720904816,0.36335411497458064,0.09047756468834268,0.4261611166233611,25,17508,226919,-13.389677152556017,-8.773623921160457
364,1806.2999009814112,834.2686149371015,0.4227546904121769,0.3247689887002241,0.715458983421164,25,46723,543703,-14.338404323307346,-9.742298222555142
365,2254.1251518387053,836.5562544782248,0.21211558540235925,0.32374634864950746,0.6334709400610193,25,9327,177166,-13.120950949786582,-7.9440804824313815
366,6120.2033553116535,836.3588766625618,0.2113117471016939,0.047992735107340014,0.7295352520050525,25,13287,246166,-13.478070171934373,-8.33521073352193
367,5328.189451383455,845.3582177884579,0.22048815099141944,-0.0077110633251087895,0.3914161431746654,25,9463,180566,-13.141589943535994,-7.951448139624452
368,1958.170897441897,847.4974588553694,0.20148685812434572,0.09128056263224371,0.26484756553486716,25,7586,157900,-12.995955325020736,-7.60636600585666
369,4228.261677743434,847.5127361847086,0.34271319017941637,-0.22881718745888013,0.2920766527285121,25,65535,702155,-14.6160824819421,-10.32767040666274
370,767.9507265072542,849.7278815205067,0.3245889410108827,0.5976174251689976,0.06469221341505042,25,13583,206159,-13.285505747370712,-8.44226298983331
371,2059.8383211838695,848.6937964578068,0.2552716821579145,0.446426055855499,0.6764175772483613,25,11232,193815,-13.218468463844859,-8.220726449415558
372,690.7217553055655,851.4208287664294,0.34683282033639484,-0.017407936324369787,-0.14370188006156315,25,13307,208528,-13.297910944785844,-8.319739780082466
373,1935.58442821962,851.5600582902462,0.2745879200622465,0.44465716882741824,0.1386581497916224,25,11826,195091,-13.225593087114007,-8.292189283846367
374,2605.9087189463876,851.2954702898403,0.29526354846082437,0.3270046457622204,0.4178326668240121,25,12400,196153,-13.231487386739753,-8.346303264152857
375,673.7191787003133,852.2000803950212,0.2770794002010967,0.9358869460588005,0.5949080018153929,25,27266,403575,-14.014810638595485,-9.35518063235764
376,488.16674777058523,857.5295389938212,0.482456654187159,0.6597777012363824,0.027340791768740602,25,65535,598111,-14.441954474243657,-10.22219935302125
377,4691.776577921095,857.788222846435,0.25852689228443937,0.041584067158904066,0.2756983434673462,25,11323,192846,-13.213026587964398,-8.225359312268278
378,5589.750462320523,857.5371005659376,0.22163217203837332,0.041423915730664694,0.21781112624263266,25,8665,173920,-13.100873816855547,-7.788577784421098
379,3467.6235589664143,860.2418926992912,0.5158942066435157,0.2078262558131031,0.33387979392077743,25,65535,597527,-14.440893835498478,-10.074860898138308
380,4112.147503956775,871.2939837652478,0.4610949378226361,0.1422747393267732,0.5287922353972817,25,65535,731283,-14.66021369394621,-9.991521425826468
381,561.9381476065457,874.2152680072645,0.2138135788718307,0.5122510736658052,0.657640524211834,25,11065,208375,-13.297114032090153,-8.19082311912547
382,2846.065862388022,875.8328129975199,0.27247007480190794,0.11353312855599208,0.2179552989975662,25,9720,172265,-13.090492621203854,-7.985410369503593
383,3241.7750645218875,875.525432464271,0.3529609644793841,0.3602505491917931,0.2869165737015344,25,15864,214945,-13.330818367786257,-8.647617734517294
384,4336.629654977538,879.4746853274232,0.2724301550690253,-0.38452964506978154,0.10930393891303906,25,14974,234276,-13.424319500819827,-8.596083241133346
385,1392.3964333626616,880.9933948048586,0.2298694826218995,0.13057494971508407,0.38156548290568,25,10154,185921,-13.173321116563052,-8.069080771723259
386,5182.36452387537,882.5042382148849,0.46737873165510563,0.21015198397538445,0.48818537590805555,25,41203,443223,-14.116555722452489,-9.584432707267437
387,353.6848298533845,887.207048507141,0.39562563693754166,0.8108337168295912,0.8438368759012751,25,11125,210201,-13.306586944471388,-7.781386947184138
388,2044.9583652986205,887.5961344969032,0.5672049407073109,-0.47140791829343137,-0.23869646311933604,25,21826,256934,-13.52455394532284,-8.698795425592794
389,4473.82324765458,887.8778427122371,0.4110068851927661,0.05329725519500606,0.24826757084844725,25,21194,250864,-13.498595856922346,-8.943818961158913
390,6051.696421123026,886.7765614838087,0.20359394321769292,0.237058502314028,0.5638824566046297,25,9568,192486,-13.210997869106718,-7.855369046291562
