2025-08-07 20:53:21,416 | WARNING | astroquery | FITSFixedWarning: 'datfix' made the change 'Set MJD-OBS to 59553.169579 from DATE-OBS'.
2025-08-07 20:53:21,422 | INFO | root | FITS file loaded successfully
2025-08-07 20:53:21,422 | INFO | root | Loading cached results from c:\Users\trito\NovaLoom\ui\..\results\Light_M42_180.0s_Bin1_0016_sources.csv
2025-08-07 20:53:21,570 | INFO | root | Updating visualization...
2025-08-07 20:53:21,571 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:53:21,754 | INFO | root | Visualization updated
2025-08-07 20:53:21,754 | INFO | core.perf | PERF visualize.total took 183.1 ms
2025-08-07 20:53:33,216 | INFO | root | Updating visualization...
2025-08-07 20:53:33,218 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:53:33,340 | INFO | root | Visualization updated
2025-08-07 20:53:33,340 | INFO | core.perf | PERF visualize.total took 122.9 ms
2025-08-07 20:54:23,523 | INFO | root | Zoom reset to full view
2025-08-07 20:54:49,501 | INFO | root | Log cleared.
2025-08-07 20:56:11,274 | ERROR | root | Error initializing settings: error loading code: [string "<python>"]:1: syntax error near <eof>
2025-08-07 20:56:11,326 | INFO | qdarkstyle | QSS file successfully loaded.
2025-08-07 20:56:11,327 | INFO | qdarkstyle | Found application patches to be applied.
2025-08-07 20:56:11,488 | INFO | __main__ | Application started
2025-08-07 20:57:34,415 | INFO | root | Loading FITS file: C:/Users/trito/NovaLoom/Data/Light_M42_180.0s_Bin1_0016.fit
2025-08-07 20:57:34,477 | WARNING | astroquery | FITSFixedWarning: 'datfix' made the change 'Set MJD-OBS to 59553.169579 from DATE-OBS'.
2025-08-07 20:57:34,482 | INFO | root | FITS file loaded successfully
2025-08-07 20:57:34,483 | INFO | root | Loading cached results from c:\Users\trito\NovaLoom\ui\..\results\Light_M42_180.0s_Bin1_0016_sources.csv
2025-08-07 20:57:34,627 | INFO | root | Updating visualization...
2025-08-07 20:57:34,627 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:57:34,816 | INFO | root | Visualization updated
2025-08-07 20:57:34,817 | INFO | core.perf | PERF visualize.total took 189.5 ms
2025-08-07 20:57:39,972 | INFO | root | Zoomed in 2x
2025-08-07 20:57:42,451 | INFO | root | Updating visualization...
2025-08-07 20:57:42,452 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:57:42,572 | INFO | root | Visualization updated
2025-08-07 20:57:42,572 | INFO | core.perf | PERF visualize.total took 120.5 ms
2025-08-07 20:57:42,695 | INFO | root | Updating visualization...
2025-08-07 20:57:42,695 | INFO | root | Displaying 100 of 100 sources
2025-08-07 20:57:42,814 | INFO | root | Visualization updated
2025-08-07 20:57:42,814 | INFO | core.perf | PERF visualize.total took 119.4 ms
2025-08-07 20:57:46,716 | INFO | root | Zoomed in 2x
2025-08-07 20:57:48,336 | INFO | root | Zoomed in 2x
2025-08-07 20:57:49,859 | INFO | root | Zoomed in 2x
2025-08-07 20:57:51,598 | INFO | root | Zoomed in 2x
2025-08-07 20:57:53,359 | INFO | root | Zoomed in 2x
2025-08-07 20:57:54,314 | INFO | root | Zoomed in 2x
